Day fraction since midnight on	pH probe (pH)	pH probe (pH)	Source pressure (Pa)
0.641795371	6.229722977	6.380331993	0
0.641806942	6.228571892	6.379179955	0
0.641818536	6.226986408	6.377593994	0
0.641830104	6.22380209	6.374408245	0
0.64184167	6.22300005	6.373605728	0
0.641853239	6.222147465	6.372752667	0
0.641864812	6.221311092	6.371915817	0
0.64187639	6.218611717	6.369215012	0
0.641887967	6.214648724	6.365250111	0
0.641899551	6.209685803	6.360284805	0
0.641911115	6.202730179	6.353325844	0
0.641922703	6.198466301	6.349059582	0
0.641934263	6.193822861	6.344414234	0
0.641945848	6.190644741	6.341234684	0
0.641957418	6.187850952	6.338439465	0
0.64196899	6.184506893	6.335093498	0
0.641980561	6.182100773	6.332686424	0
0.641992139	6.178514004	6.329097748	0
0.642003721	6.172930718	6.323512077	0
0.642015283	6.165574074	6.316151619	0
0.64202687	6.158524513	6.309098721	0
0.642038424	6.155732155	6.306304932	0
0.642050004	6.152183056	6.302753925	0
0.642061576	6.148862362	6.299431801	0
0.642073163	6.146410942	6.296978951	0
0.642084724	6.14531374	6.295881271	0
0.642096297	6.144135952	6.294703484	0
0.642107872	6.142895222	6.2934618	0
0.642119459	6.142722607	6.293289185	0
0.642131035	6.142464161	6.293030262	0
0.642142596	6.142548561	6.293114662	0
0.642154168	6.142465115	6.293031216	0
0.642165738	6.14249754	6.293063641	0
0.642177317	6.142446995	6.293013096	0
0.642188894	6.142532826	6.293099403	0
0.64220046	6.142480373	6.293046475	0
0.642212043	6.142481327	6.293047428	0
0.642223608	6.142343998	6.292910099	0
0.642235191	6.14191246	6.292478561	0
0.642246765	6.141456604	6.292022228	0
0.64225834	6.139793396	6.290358067	0
0.642269918	6.135864735	6.286427975	0
0.642281498	6.130833626	6.281394005	0
0.642293054	6.126236916	6.276795387	0
0.642304643	6.121803761	6.272359848	0
0.642316209	6.119190216	6.26974535	0
0.642327792	6.115509987	6.266063213	0
0.642339352	6.109754562	6.260304928	0
0.642350931	6.105381966	6.255929947	0
0.642362501	6.104942799	6.25549078	0
0.64237409	6.105623245	6.256171703	0
0.642385652	6.108764648	6.259314537	0
0.642397229	6.112515926	6.263067722	0
0.642408795	6.116136074	6.266689301	0
0.642420374	6.115824699	6.266377926	0
0.642431942	6.115300179	6.265852928	0
time five			
0.642443535	6.115715504	6.26626873	0
0.642455093	6.113491058	6.264043331	0
0.642466682	6.112447262	6.262998581	0
0.642478237	6.109174728	6.259724617	0
0.642489815	6.10853529	6.259085178	0
0.642501393	6.112033367	6.262585163	0
0.642512964	6.115743637	6.266296864	0
0.642524536	6.115828991	6.266382217	0
0.642536126	6.11694479	6.267498493	0
0.642547703	6.119253635	6.269808769	0
0.642559258	6.123223782	6.273780823	0
0.642570831	6.125691414	6.276249409	0
0.642582408	6.128110886	6.278669834	0
0.642593997	6.130316734	6.280877113	0
0.642605558	6.132004261	6.282565594	0
0.642617133	6.133228302	6.283790112	0
0.642628707	6.133284092	6.283845902	0
0.64264028	6.132311821	6.282873154	0
0.642651854	6.130571365	6.281131744	0
0.642663425	6.127960682	6.278520107	0
0.64267501	6.125612259	6.276170254	0
0.64268658	6.128967285	6.279526711	0
0.642698144	6.135297775	6.285860539	0
0.642709737	6.137553692	6.288117886	0
0.642721302	6.13797617	6.288540363	0
0.642732871	6.136708736	6.287272453	0
0.642744459	6.136295795	6.286859036	0
0.642756021	6.139784813	6.29034996	0
0.64276761	6.141860962	6.292427063	0
0.642779169	6.142377853	6.292944431	0
0.642790743	6.142685413	6.293251514	0
0.642802318	6.143377781	6.293944359	0
0.642813906	6.14510107	6.295668602	0
0.642825467	6.14843607	6.299005032	0
0.642837037	6.153776646	6.304348469	0
0.642848617	6.159365177	6.309939385	0
0.64286019	6.164867401	6.31544447	0
0.642871763	6.168911457	6.319490433	0
0.642883333	6.171675682	6.322256088	0
0.642894922	6.173757553	6.32433939	0
0.642906478	6.173927784	6.324509621	0
0.642918055	6.173551083	6.324132443	0
0.642929633	6.173447609	6.324028969	0
0.642941205	6.174354553	6.32493639	0
0.642952779	6.17544651	6.326028824	0
0.642964369	6.174275875	6.324857712	0
0.642975943	6.171328068	6.321908474	0
0.642987501	6.169747353	6.320327282	0
0.642999078	6.170414448	6.320994377	0
0.64301065	6.170566559	6.321146488	0
0.643022223	6.169951916	6.320531845	0
0.643033803	6.170362949	6.320942879	0
0.643045375	6.171317101	6.321897507	0
0.643056943	6.172187328	6.322768211	0
0.643068529	6.173688412	6.324270248	0
0.64308009	6.173893452	6.324475288	0
0.643091676	6.171431541	6.322011948	0
0.643103242	6.170566082	6.321146488	0
0.643114829	6.170414448	6.320994377	0
0.64312639	6.166181088	6.31675911	0
0.643137967	6.164075851	6.31465292	0
0.643149545	6.159265995	6.309840202	0
0.643161111	6.156131268	6.306704044	0
0.643172681	6.154919624	6.305491924	0
0.643184276	6.155233383	6.305805683	0
0.643195835	6.155022144	6.305594444	0
0.643207411	6.155664444	6.306237221	0
0.643218981	6.152889252	6.303460598	0
0.643230561	6.150856495	6.301426888	0
0.643242127	6.149289131	6.29985857	0
0.643253721	6.146886349	6.297454834	0
0.643265278	6.145620346	6.296188355	0
0.643276853	6.144464016	6.295031071	0
0.643288426	6.143606186	6.294173241	0
0.643300013	6.143343449	6.293910027	0
0.643311574	6.142889977	6.293456554	0
0.643323145	6.142633915	6.293200493	0
0.643334719	6.142207146	6.292773247	0
0.643346308	6.142085075	6.292651177	0
0.643357873	6.141934395	6.292500019	0
0.643369456	6.141994953	6.292561054	0
0.643381024	6.142309666	6.292875767	0
0.643392596	6.142326832	6.292892933	0
0.643404183	6.142240048	6.292806149	0
0.643415742	6.141883373	6.292448998	0
0.643427321	6.141499043	6.292065144	0
0.643438892	6.140859604	6.291425228	0
0.643450465	6.140723229	6.291288376	0
0.64346204	6.139948845	6.290513992	0
0.643473609	6.140450001	6.291015625	0
0.643485187	6.140327931	6.290893078	0
0.643496759	6.140211105	6.29077673	0
0.643508337	6.140603542	6.29116869	0
0.643519912	6.140258789	6.290823937	0
0.643531483	6.139784813	6.290349484	0
0.643543056	6.139238834	6.289803505	0
0.643554627	6.138147354	6.288711548	0
0.64356621	6.138208389	6.288772583	0
0.643577789	6.137191773	6.287755489	0
0.643589367	6.137502194	6.28806591	0
0.643600925	6.137504578	6.288068771	0
0.643612504	6.137140274	6.287703514	0
0.643624085	6.136416435	6.286979675	0
0.643635652	6.13478756	6.285350323	0
0.643647226	6.133280277	6.283842087	0
0.643658804	6.131091595	6.281652451	0
0.643670383	6.128610611	6.279170036	0
0.643681959	6.124854088	6.275411606	0
0.643693516	6.122346878	6.272903442	0
0.643705095	6.121665955	6.272222042	0
0.643716671	6.12132597	6.271882057	0
0.64372825	6.116996288	6.267549992	0
0.643739813	6.109498501	6.260048389	0
0.643751393	6.101090908	6.251636982	0
0.64376296	6.094414711	6.244957447	0
0.643774538	6.080826759	6.23136282	0
0.643786111	6.068121433	6.218651295	0
0.64379769	6.06545639	6.215984821	0
0.643809275	6.066455841	6.216984749	0
0.643820834	6.070987701	6.22151947	0
0.643832408	6.076847553	6.227381706	0
0.64384399	6.082188129	6.232724667	0
0.643855554	6.085593224	6.236131668	0
0.643867134	6.089028835	6.239569187	0
0.643878704	6.091633797	6.242175102	0
0.643890278	6.092199802	6.242741585	0
0.643901853	6.093939781	6.244482517	0
0.643913424	6.095148563	6.245691776	0
0.643924999	6.097972393	6.24851656	0
0.643936585	6.099350452	6.24989605	0
0.643948144	6.100045204	6.250590801	0
0.643959733	6.102159977	6.252706528	0
0.643971301	6.103765488	6.254312992	0
0.64398288	6.104175568	6.254723549	0
0.64399445	6.10499382	6.255541802	0
0.644006024	6.106311321	6.256860256	0
0.644017596	6.107314587	6.257863522	0
0.644029165	6.107075691	6.257624626	0
0.644040747	6.106261253	6.256809712	0
0.644052328	6.104434013	6.254981995	0
0.644063887	6.105505943	6.256053925	0
0.644075462	6.105381966	6.255929947	0
0.644087035	6.104994297	6.255542278	0
0.64409861	6.104020596	6.2545681	0
0.644110182	6.104192257	6.254739761	0
0.644121762	6.102868557	6.253415585	0
0.644133334	6.101222992	6.251769066	0
0.644144917	6.099488258	6.250033855	0
0.644156481	6.098083019	6.248627663	0
0.644168058	6.096817017	6.247361183	0
0.644179627	6.09543848	6.245981693	0
0.644191207	6.092389107	6.242930889	0
0.644202779	6.092793942	6.243336201	0
0.644214348	6.093834877	6.244377136	0
0.644225927	6.0954566	6.245999813	0
0.644237504	6.097747326	6.248291493	0
0.644249071	6.099106789	6.249651909	0
0.644260647	6.099712849	6.250257969	0
0.644272239	6.09931612	6.24986124	0
0.644283797	6.098765373	6.249310494	0
0.644295384	6.098781586	6.249326706	0
0.64430695	6.098372936	6.248918057	0
0.644318521	6.097980976	6.24852562	0
0.644330089	6.097946644	6.248491287	0
0.644341671	6.097695828	6.248240471	0
0.644353245	6.09671402	6.247258186	0
0.644364815	6.096752644	6.247296333	0
0.644376386	6.097691059	6.248235226	0
0.644387968	6.099574566	6.250119686	0
0.644399541	6.100642681	6.251188755	0
0.644411113	6.100642681	6.251188278	0
0.644422696	6.100436211	6.250982285	0
0.644434263	6.099550247	6.250095844	0
0.644445838	6.098695755	6.249240875	0
0.644457406	6.097929478	6.248474121	0
0.644468991	6.097500801	6.248044968	0
0.644480556	6.096325874	6.246869564	0
0.644492145	6.095077038	6.245620251	0
0.644503702	6.093015671	6.24355793	0
0.644515275	5.826443195	5.976855278	0
0.64452685	6.006178856	6.156678677	0
0.644538422	6.037630081	6.188145161	0
0.644550005	6.053325176	6.203847885	0
0.644561574	6.061705589	6.21223259	0
0.644573145	6.069622517	6.220153332	0
0.644584726	6.076712608	6.227247238	0
0.644596297	6.081225872	6.231762409	0
0.644607874	6.084617615	6.235155582	0
0.64461944	6.085730076	6.23626852	0
0.644631029	6.087133408	6.237672806	0
0.64464259	6.086634636	6.237173557	0
0.644654167	6.083842754	6.234380245	0
0.644665747	6.084255695	6.234793663	0
0.64467732	6.083528519	6.234066486	0
0.644688889	6.08308506	6.233622551	0
0.644700466	6.081416607	6.231953144	0
0.644712042	6.080947399	6.231483936	0
0.644723611	5.734782219	5.885149479	0
0.644735182	5.939433098	6.089900494	0
0.644746759	5.997872829	6.148368835	0
0.644758332	6.022632122	6.173139572	0
0.644769904	6.043516636	6.194034576	0
0.644781479	6.052445889	6.202968597	0
0.644793069	6.05704689	6.207571507	0
0.64480463	6.059129238	6.209654808	0
0.644816201	6.062091827	6.212618828	0
0.644827781	6.064353943	6.214881897	0
0.644839348	6.067302704	6.217832089	0
0.644850929	6.070298672	6.220829487	0
0.644862505	6.071780205	6.222311974	0
0.64487409	6.07512331	6.225656509	0
0.644885652	6.077523232	6.228057861	0
0.644897222	6.077915669	6.228450298	0
0.644908798	6.076226234	6.226759911	0
0.644920369	6.074912548	6.225445747	0
0.644931957	6.073822022	6.224354744	0
0.644943521	6.075645447	6.2261796	0
0.644955105	6.079172611	6.229708195	0
0.644966667	6.083238602	6.233776093	0
0.644978242	6.087581635	6.238121033	0
0.644989828	6.091166019	6.241707325	0
0.645001391	6.092657566	6.243199825	0
0.645012966	6.094370365	6.244913578	0
0.645024537	6.095131397	6.24567461	0
0.645036112	6.094887734	6.24543047	0
0.645047695	6.094792843	6.245336056	0
0.645059271	6.092306614	6.242848396	0
0.645070829	6.089814186	6.240354538	0
0.645082408	6.087977886	6.238517761	0
0.645093978	6.087623596	6.238163471	0
0.645105551	6.086174011	6.236712456	0
0.645117127	6.086047649	6.236586571	0
0.645128704	6.085789681	6.236328125	0
0.64514028	6.086737156	6.237276077	0
0.645151847	6.085525036	6.23606348	0
0.645163429	6.083842754	6.234380245	0
0.645175001	6.081924915	6.232461929	0
0.645186578	6.079844475	6.230380058	0
0.645198153	6.078758717	6.2292943	0
0.645209725	6.077352524	6.227887154	0
0.645221294	6.075390339	6.225924015	0
0.645232866	6.071055889	6.221587181	0
0.645244451	6.066369534	6.216898918	0
0.645256021	6.063531399	6.214059353	0
0.6452676	6.06169939	6.212226391	0
0.64527917	6.059230328	6.209755898	0
0.645290746	6.057029247	6.207553864	0
0.645302314	6.055596829	6.206120968	0
0.645313891	6.055409432	6.205933094	0
0.645325464	6.055682659	6.206206322	0
0.645337043	6.056081772	6.206605911	0
0.645348609	6.056023598	6.206547737	0
0.64536018	6.056740284	6.207264423	0
0.645371765	6.057012558	6.207537174	0
0.645383346	6.058977127	6.209502697	0
0.645394908	6.060757637	6.211284161	0
0.645406484	6.062320232	6.212847233	0
0.645418061	6.062750816	6.213278294	0
0.645429629	6.06158638	6.212112904	0
0.6454412	6.061193943	6.211720467	0
0.645452793	6.061165333	6.211691856	0
0.645464364	6.061518192	6.212045193	0
0.64547593	6.064418793	6.214946747	0
0.645487506	6.067041397	6.217571259	0
0.645499076	6.069776535	6.22030735	0
0.645510657	6.071611881	6.22214365	0
0.645522237	6.073331356	6.223863602	0
0.6455338	6.072062969	6.222594738	0
0.645545368	6.068923473	6.219453812	0
0.64555695	6.067265511	6.217795372	0
0.645568514	6.066783428	6.217312813	0
0.645580097	6.065956116	6.216485024	0
0.645591663	6.065476894	6.216005802	0
0.645603241	6.063991547	6.214519501	0
0.645614825	6.060217857	6.210743904	0
0.645626387	6.057632446	6.208157539	0
0.645637961	6.057798386	6.208323002	0
0.645649534	6.058173657	6.20869875	0
0.645661116	6.058253288	6.208778381	0
0.645672687	6.058087826	6.208612919	0
0.64568426	6.058446407	6.208971977	0
0.645695839	6.061544418	6.212071419	0
0.645707413	6.061825275	6.212352276	0
0.645718997	6.061355114	6.211881638	0
0.645730553	6.06411171	6.214639664	0
0.645742126	6.069842339	6.220373154	0
0.645753709	6.075933456	6.226467133	0
0.645765278	6.079997063	6.230532646	0
0.645776851	6.085030079	6.235568523	0
0.645788426	6.088443279	6.238983154	0
0.645799999	6.090815067	6.241355896	0
time ten			
0.645811572	6.092623711	6.243165493	0
0.645823154	6.093681812	6.244224072	0
0.645834723	6.094295502	6.244838238	0
0.645846301	6.095146179	6.245689392	0
0.645857876	6.094537258	6.245079994	0
0.645869453	6.096300602	6.246844292	0
0.645881019	6.096650124	6.24719429	0
0.645892593	6.096973896	6.247518063	0
0.645904166	6.095848084	6.246391296	0
0.645915746	6.094525814	6.245069027	0
0.645927318	6.092435837	6.242977619	0
0.645938894	6.090890408	6.241431236	0
0.645950477	6.089374065	6.239914417	0
0.645962037	6.087385178	6.237924576	0
0.645973626	6.085824013	6.236362457	0
0.645985183	6.084842682	6.235381126	0
0.645996764	6.085875511	6.236413956	0
0.646008334	6.085746765	6.236285687	0
0.646019905	6.085627556	6.236166	0
0.646031481	6.084600449	6.235138416	0
0.646043059	6.084342003	6.234879971	0
0.646054631	6.083853245	6.234390736	0
0.646066208	6.082825661	6.233363152	0
0.646077778	6.080491543	6.231027603	0
0.646089363	6.077772617	6.228307247	0
0.646100921	6.075321674	6.225855351	0
0.646112505	6.072900295	6.223432541	0
0.646124078	6.071346283	6.221878052	0
0.646135648	6.070322514	6.220853329	0
0.646147222	6.071209431	6.2217412	0
0.6461588	6.073123932	6.223656654	0
0.646170372	6.075151444	6.225684643	0
0.646181941	6.07636261	6.226896763	0
0.646193524	6.076915264	6.227449417	0
0.646205093	6.074605465	6.225138664	0
0.646216669	6.071418285	6.221950054	0
0.646228236	6.068838596	6.219368935	0
0.646239809	6.066329956	6.216858864	0
0.64625139	6.066524506	6.21705389	0
0.646262968	6.067817688	6.218347549	0
0.646274542	6.067972183	6.218502045	0
0.64628611	6.06900835	6.219539166	0
0.646297687	6.070728779	6.221260071	0
0.64630926	6.073001385	6.223534107	0
0.646320832	6.074246883	6.224780083	0
0.646332408	6.074727058	6.225260258	0
0.646343986	6.074623585	6.225156784	0
0.646355558	6.074417591	6.22495079	0
